delta18O,D
-9.4,-65.3
-9.8,-61.5
-9.9,-64.4
-9.5,-60
-9.5,-64.9
-9.6,-62.8
-9.7,-58.1
-9.64,-63.8
-9.24,-63.2
-10.38,-70.5
-10.45,-70.4
-10.45,-64.76
-9.81,-63.3
-9.636,-60
-9.22,-58.9
-9.21,-57.4
-9,-60.3
-9.3,-59.7
-9.1,-60.7
-10.2,-68.5
-9.76,-67.3
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
-4,-16.2
-3.1,-14.3
--,--
-3,-17.4
-2.3,-12.4
-3.3,-15.5
-4.7,-21.1
-8.2,-53.9
-4.8,-18.6
-5.9,-32.3
-6.9,-41.6
-3.3,-10.6
-2,-6.9
0.5,15.6
-1.3,1.2
-3.9,-18
