delta18O,D
-4.24,-22.956994305971506
-3.71,-18.8613325455525
-2.57,-10.051795928802184
-1.74,-3.637835058712046
-3.88,-20.17503537436614
-4.04,-21.411461566190745
-2.59,-10.206349202780261
-1.34,-0.5467695791505349
-5.21,-30.452828093908174
-6.6,-41.19428063538443
-4.76,-26.97537942940147
-5.15,-29.989168271973952
-3.54,-17.547629716738854
-5.03,-29.061848628105494
-2.67,-10.824562298692564
-2.7,-11.056392209659679
-3.0,-13.374691319330813
-1.06,1.6169762565425252
-1.45,-1.3968125860299487
-4.76,-26.97537942940147
-3.74,-19.093162456519615
-5.64,-33.775723484436796
-5.65,-33.85300012142584
-4.77,-27.052656066390504
-3.31,-15.770267065990987
-1.99,-5.5697509834379915
-3.27,-15.461160518034836
-1.9,-4.874261250536652
-3.24,-15.229330607067721
-1.94,-5.183367798492803
-3.39,-16.38848016190329
-4.87,-27.82542243628089
-2.85,-12.215541764495248
-5.07,-29.37095517606165
-2.44,-9.047199647944693
-3.19,-14.84294742212253
-1.84,-4.410601428602426
-1.76,-3.7923883326901233
-3.12,-14.302010963199267
-1.96,-5.337921072470879
-1.48,-1.6286424969970632
-0.17,8.494596948566892
-1.6,-2.5559621408655175
-3.12,-14.302010963199267
-9.86,-66.38646429381075
-0.47,6.176297838895757
-2.11,-6.497070627306444
-4.3,-23.420654127905728
-1.63,-2.7877920518326302
-1.66,-3.019621962799743
-0.54,5.635361379972492
-2.38,-8.583539826010467
-3.08,-13.992904415243116
-1.13,1.076039797619261
-7.61,-48.99922097127725
-7.09,-44.98083584784728
-5.22,-30.530104730897207
-7.26,-46.29453867666093
-4.41,-24.270697134785152
-2.26,-7.656220182142013
-5.87,-35.55308613518467
-1.92,-5.028814524514727
-3.96,-20.793248470278442
-5.33,-31.380147737776632
-5.54,-33.002957114546426
-6.91,-43.58985638204461
-3.17,-14.688394148144456
-6.71,-42.04432364226385
-5.02,-28.984571991116454
-2.2,-7.192560360207787
-2.27,-7.733496819131053
-3.23,-15.152053970078681
-7.68,-49.540157430200516
-3.21,-14.997500696100607
-3.78,-19.402269004475762
-3.79,-19.479545641464803
-10.3,-69.78663632132843
-3.84,-19.86592882640999
-3.13,-14.379287600188304
-5.44,-32.23019074465605
-3.22,-15.074777333089648
-1.6,-2.5559621408655175
-1.18,0.6896566126740726
-3.08,-13.992904415243116
0.84,16.29953728445971
-4.98,-28.675465443160306
-6.38,-39.494194621625596
-2.48,-9.356306195900844
-6.22,-38.25776842980099
-1.93,-5.106091161503764
-6.07,-37.09861887496543
-3.25,-15.306607244056758
-3.45,-16.852139983837517
-0.72,4.244381914169812
-3.0,-13.374691319330813
-6.32,-39.030534799691374
-5.4,-31.921084196699894
-7.02,-44.43989938892402
-1.16,0.8442098866521484
-4.49,-24.888910230697455
-4.94,-28.366358895204158
-4.92,-28.211805621226077
-3.37,-16.233926887925215
-7.23,-46.06270876569382
-4.08,-21.7205681141469
-2.53,-9.742689380846032
-5.04,-29.139125265094535
-8.39,-55.02679865642221
-4.4,-24.19342049779611
-4.13,-22.10695129909209
-8.45,-55.49045847835642
-2.62,-10.438179113747376
-4.26,-23.11154757994958
-2.41,-8.815369736977582
-1.74,-3.637835058712046
-3.64,-18.320396086629238
-3.34,-16.0020969769581
-2.38,-8.583539826010467
-2.26,-7.656220182142013
-5.97,-36.32585250507505
-5.83,-35.24397958722852
-6.78,-42.58526010118712
-3.7,-18.78405590856346
-6.79,-42.66253673817615
-3.44,-16.774863346848477
-5.09,-29.525508450039716
-4.26,-23.11154757994958
-3.37,-16.233926887925215
-1.38,-0.8558761271066846
-3.52,-17.39307644276078
-2.61,-10.360902476758335
-2.62,-10.438179113747376
-4.0,-21.102355018234597
-3.1,-14.147457689221193
-3.0,-13.374691319330813
-2.3,-7.965326730098164
-3.3,-15.692990429001947
-4.7,-26.51171960746725
-8.2,-53.55854255363048
-4.8,-27.28448597735762
-5.9,-35.784916046151785
-6.9,-43.51257974505557
-3.3,-15.692990429001947
-2.0,-5.64702762042703
0.5,13.672131626832426
-1.3,-0.23766303119438348
-3.9,-20.329588648344213
-3.52,-17.39307644276078
-2.63,-10.515455750736413
-2.2,-7.192560360207787
-1.84,-4.410601428602426
-5.17,-30.14372154595202
-2.88,-12.447371675462358
-6.13,-37.562278696899654
-4.92,-28.211805621226077
-5.43,-32.152914107667
-4.33,-23.65248403887285
-2.95,-12.988308134385624
-1.7,-3.3287285107558944
-5.32,-31.30287110078759
-3.35,-16.07937361394714
-1.9,-4.874261250536652
-9.75,-65.53642128693134
-4.7,-26.51171960746725
-5.21,-30.452828093908174
-6.04,-36.86678896399832
-5.47,-32.46202065562316
-5.08,-29.448231813050683
-3.06,-13.838351141265042
-1.38,-0.8558761271066846
-4.41,-24.270697134785152
-4.4,-24.19342049779611
-4.9,-28.057252347248003
-5.28,-30.993764552831443
-3.78,-19.402269004475762
-6.4,-39.64874789560368
-4.29,-23.343377490916694
-4.6,-25.738953237576865
-9.54,-63.91361191016154
-5.79,-34.93487303927237
-3.58,-17.85673626469501
-4.23,-22.879717668982472
-4.75,-26.898102792412438
-1.69,-3.2514518737668574
-3.36,-16.156650250936174
-4.73,-26.743549518434364
-3.93,-20.561418559311335
-5.15,-29.989168271973952
-4.39,-24.11614386080707
